pid	date	title	text
1	2000-09-06 19:52:50	First post!	This is the first test of the new news posting system. I hope this thing works correctly. &nbsp; :-D
2	2000-09-06 20:00:33	Second post!	Well, I got this news script working correctly, so check in here every once in a while to get news. Don&#8217;t try to add or delete posts, it requires a password which you can&#8217;t get even with a copy of the script because it&#8217;s encrypted. Nyah.\n<p>The <a href=\\"http://www.wadny.com/about/desktop/\\">desktop section</a> was updated today with two new wallpapers and where you can get them. Some of those are really good, you should download them.</p>
3	2000-09-07 13:19:11	From school	Hi. This is me at school. We have a T1 here, but it&#8217;s slower than my <acronym title=\\"Digital Subscriber Line\\">DSL</acronym> at home (I can almost hear you modem people bitching, but if it makes you feel any better, we seem to have random router troubles). Whee.
4	2000-09-08 17:27:48	Wallpaper added	I added a new wallpaper to the desktop section, &#8220;kult design&#8221; by shinter. He kicks ass.
5	2000-09-10 14:53:11	Slight redesign	I&#8217;ve redesigned the page again. This time, I put the menu on the side so it doesn&#8217;t interfere with YDL&#8217;s design. I&#8217;m going to remove all of the frame-killing code in <acronym title=\\"First-Person Shooter Information Database\\">FPSID</acronym> so it can open in the frames as well, and then everything should work. You&#8217;ll notice the menu also gives the date of the last news post. When I make changes, I&#8217;ll update the news, so check that date.
6	2000-09-10 15:06:53	&#8220;Reset&#8221; link added to start portal	Oh, I also added a link to the start page to reset the positions of the layers. You have to reload for it to take effect. I added it in case you had something in a place that&#8217;s now covered by the menu frame.
7	2000-09-16 23:04:57	New version of blink and IDTScript	YDL Development has been updated with new versions of blink and IDTScript, plus some news on the future of blink.
8	2000-09-17 13:49:08	IDTScript bugfix	I found a bug in IDTScript that disabled <acronym title=\\"Direct Client Connection\\">DCC</acronym>&#8217;s, so that&#8217;s been fixed and a new version is up. Go check it out.
9	2000-09-22 18:37:10	IDTScript 1.5.2 released	I screwed up the previous release of IDTScript, 1.5.2 has now been released with a bunch of distribution fixes, some theming improvements, and a few documentation changes. Not much scripting, but important nonetheless.
10	2000-09-23 16:42:17	FPSID update	I&#8217;ve made an update to <acronym title=\\"First-Person Shooter Information Database\\">FPSID</acronym>. There&#8217;s two new <acronym title=\\"Internet Relay Chat\\">IRC</acronym> logs and a new humor article. Have fun.
11	2000-09-29 16:41:00	Wallpapers and news changes	I don&#8217;t know if I&#8217;ve been mentioning this every time, but I&#8217;ve been throwing up various new wallpapers in the <a href=\\"http://www.wadny.com/about/desktop/\\">desktop+wallpaper</a> section. I might be going through them at some point and weeding out ones that aren&#8217;t quite as good anymore.\n<p>You&#8217;ll also notice a few changes in the news page, mainly an &#8216;edit&#8217; button at the bottom. I did some screwing around with the news script and made it a little better, and also added the option for me to edit existing posts. I&#8217;m considering making a release of this, but it&#8217;s pretty complex&#8230;</p>\n<p>I also added a few new random titles and removed a couple old ones, so keep your eye out for those.</p>\n<p><acronym title=\\"By The Way\\">BTW</acronym>, from now on, multiple posts in one day will probably be edited together like this, instead of posted separately.</p>
