---
title: sports.log
---
Session Start: Mon Sep 06 21:08:19 1999<br>
[21:08] *** Now talking in #sports<br>
[21:08] *** Topic is &#39;24-hour sports chat on MSNBC&#39;<br>
[21:08] 9:08pm Sync Information: Ops: 1(100%) Non Ops: 108(99%) Total: 109<br>
[21:08] 9:08pm Now compiling user data from #sports... (Current: 1)<br>
[21:08] [MSNBC-Bot VERSION]<br>
[21:08] &lt;Blaerg&gt; heh<br>
[21:08] &lt;^Dorian&gt; fido:  yeah :(<br>
[21:08] &lt;Blaerg&gt; asdf<br>
[21:08] &lt;Peg_AZ&gt; Hi everyone, can see it&#39;s been fun<br>
[21:08] &lt;Blaerg&gt; asdf<br>
[21:08] 9:08pm Compiling of user data for #sports complete. Total: 109<br>
[21:08] * Timer 1 activated<br>
[21:08] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:08] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:08] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:08] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:08] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:08] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:08] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:08] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:08] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:08] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
